face_id,i,j,k,curl,mapped_node_mean_curl
57,8,1708,4011,0.0020679879238385,0.0009400379809613779
58,8,2145,3200,0.0019978628272885003,0.0008067278143745631
59,8,2145,4011,0.0008467647957485999,0.0008405343173040273
60,8,3200,4011,0.0005903190513720639,0.0008288874258021373
61,9,948,1790,0.00011239277974450009,0.00047774219924035893
62,9,948,4259,0.0004108569445312,0.000975112369633809
63,9,1739,2874,0.00047331805444829995,0.0017367592243594833
64,9,1739,3981,0.00010797110103609973,0.00074232755111515
65,9,1790,3981,9.487289843109999e-05,0.00042041703914663116
66,9,2874,4259,0.0023862757036492007,0.0019122188827844144
67,10,3031,3637,0.0029494223555564004,0.0029917761658398057
68,10,3031,3821,0.0009915593276588,0.0033505323909003015
69,10,3031,4389,0.00018169975056069997,0.002569276280697795
70,10,3212,3637,0.0034764423861467003,0.0038516454738163
71,10,3212,4389,0.0005043468698388999,0.003429145588674289
72,10,3212,4753,0.0081471080599551,0.005932139742539558
73,10,3637,4389,0.0008236181077751002,0.0033480631847463177
74,10,3637,4753,0.0053013025120289,0.005851057338611587
75,10,3821,4389,0.0007942230611748999,0.0037068194098068136
76,11,1952,3527,0.0008997536215958,0.0012192088905226804
77,11,1952,4804,0.0004486666130497,0.0009691553989114703
78,11,2772,3527,0.000103048873501,0.0010256423680683113
79,11,2772,4240,0.0005241611009505999,0.00116152565298645
80,11,4240,4819,0.0022917255965665,0.0013395018525045488
81,11,4804,4819,0.0010886131147376998,0.0009535650759752004
82,12,604,1691,0.0020095559543571,0.001773443183009174
83,12,604,3112,7.587407822700004e-05,0.001645484167585574
84,12,604,3549,0.0025696339289092997,0.0018419891052409154
85,12,1189,3549,0.0013413552778394002,0.0016783802590255477
86,12,1189,3724,0.0014326693827639999,0.0014733094571952423
87,12,1189,4575,0.0024361331241258,0.0013967455941281568
88,12,1691,3549,0.0038889567509914,0.0017905216410203644
89,12,3112,3724,0.00010348025982790006,0.001457491823766459
90,12,3151,3549,0.0014818188037096,0.0014654880960594018
91,12,3151,4575,0.0004872880640459,0.001183853431162011
92,12,3549,4575,0.0017933830102368,0.0015774328983547152
93,13,674,1006,0.00042495751434040024,0.0013736473254980246
94,13,674,1951,2.2385785919e-05,0.0023235338829135834
95,13,1006,2762,0.0014301473776250004,0.0007397168426920736
96,13,1951,4845,1.6518238608800016e-05,0.0018171052104368729
97,13,1987,2762,0.00028474322891739996,0.00033417191892942113
98,13,1987,4845,9.506506782940003e-05,0.0004616737292586611
99,14,144,1387,4.6250074468467376e-05,0.00041073467743731957
100,14,144,1551,0.0006345971628276999,0.0005472776985807267
101,14,1387,2965,0.00010832050217776733,0.0010859487667720044
102,14,1551,4834,0.00040888289749410004,0.0009678642979313185
103,14,2917,2965,0.0004520512733238,0.0013309585393264003
104,14,2917,4834,0.0004040175676437998,0.0010763310493423076
105,15,845,3155,0.0003661907975580998,0.0005623409938544196
106,15,845,4307,0.00020098312295309975,0.0007415474804409722
107,15,1177,1399,0.0015058088248095997,0.0013016828203525224
108,15,1177,3155,0.0008963487489279005,0.000859966674111503
109,15,1399,2883,0.0017914268045208003,0.0013219842191014425
110,15,2883,4307,0.0011568355189726,0.0010594745594469759
111,16,800,3258,0.0032948652271772,0.003516959976094277
112,16,800,4569,0.0054902156424858,0.004304115846397095
113,16,1575,1694,0.0031816306406996005,0.0023212556988035558
114,16,1575,3888,0.0040818466103949,0.002993155230017478
115,16,1694,3258,0.001348408928921,0.002470444021763411
116,16,3888,4569,0.000763937154578901,0.00392949942328015
117,17,426,2747,0.0010285075166525997,0.0018500668153204277
118,17,426,4378,0.0017577540383980003,0.0016646751909084002
119,17,1690,2747,6.297153184399787e-05,0.003566405015609205
120,17,1690,4333,0.0073706683424417975,0.005173829717371222
121,17,2352,4333,3.502483760710329e-05,0.0039404265004610115
122,17,2352,4378,0.0003455106587712999,0.002147610174286967
123,18,56,571,0.0019353150624328997,0.0007931837330963054
124,18,56,1842,0.0004431346306289,0.0008754709275879889
125,18,197,1725,0.0002638935530123,0.00084294598665942
126,18,197,2668,0.0006415262580479,0.0010292986915966878
127,18,274,1842,0.0033880139536557,0.0011658580530496943
128,18,274,2668,0.0023262372105254,0.0012464880562853154
129,18,571,1725,0.0007671746996723999,0.0007728114125747699
130,18,571,4409,0.0003042572471390998,0.0007662039133139647
131,18,1725,2668,0.0002436897592935001,0.0009357286103020744
132,18,1725,4409,0.00017276960508490007,0.0007427684061040014
133,19,166,540,0.0016342039795429527,0.001165209019643929
134,19,166,4643,0.00041195016301970007,0.001218645480411292
135,19,168,540,0.0009514386113602001,0.0011196635949833396
136,19,168,906,0.0010772909968353997,0.002007734074737764
137,19,906,2952,0.0016125072623297,0.0027151679631395587
138,19,2952,4643,0.0005151363214274001,0.0018805339441524975
139,20,305,4534,0.0017471073268604006,0.00210075653629005
140,20,305,4671,0.0004625079857585989,0.0036886926050738165
141,20,1799,2474,0.0031313371911978,0.003044929689345528
142,20,1799,4671,0.0010211288729707001,0.004294585301572156
143,20,2474,3753,0.0026774902587083996,0.0017443886856102636
144,20,3753,4534,0.0012089313495050004,0.001406108229053125
145,21,1370,1450,0.0003285937621036999,0.002012345045157722
146,21,1370,3688,0.0093733490413604,0.0038961381918799208
147,21,1370,4582,0.0029025653124539995,0.0021876062081448294
148,21,1370,4588,0.0017732144980303996,0.002203435852899135
149,21,1370,4611,0.0012351694849038002,0.0031907087582984
150,21,1450,4582,0.0006574426614310002,0.0013153802654702867
151,21,1450,4588,0.00021424146517690004,0.0013312099102245924
