i,j,flux_coexact
31,374,-3.201317960712608e-06
31,429,2.5976464213102172e-05
31,596,-7.34270028821054e-05
31,701,2.56533189662365e-05
32,165,5.449859656078103e-05
32,240,-4.886530126878241e-05
32,610,0.0001247148783378
32,657,6.487055092777534e-05
32,671,-0.0002374936158353
32,681,4.2274891277683664e-05
33,163,1.1357916331373382e-05
33,491,1.2469900558675882e-05
33,493,-6.59985592157155e-06
33,661,-7.788547968001826e-06
33,672,3.39400097254438e-07
33,696,-9.778813097730329e-06
34,383,-1.614139373291529e-05
34,511,2.8535478817781777e-05
34,568,2.2282515649192118e-07
34,656,-2.5227258738224237e-05
34,793,-7.054781819856336e-07
34,828,1.3315826678851466e-05
35,246,3.808953236164605e-06
35,301,5.060949448042128e-06
35,376,-6.173003464473957e-06
35,419,1.987982526116903e-06
35,625,2.4195596656108033e-06
35,636,-7.104441411460482e-06
36,97,3.4851208712123426e-05
36,141,9.439089939787931e-06
36,401,-7.192196232594707e-05
36,549,1.88163133074535e-05
36,612,4.351304119263761e-06
36,787,4.464046247318451e-06
37,238,1.4100946194575298e-05
37,567,1.0919285248288037e-05
37,597,-5.907185150882559e-05
37,600,-3.888084477347439e-05
37,770,7.293246483943665e-05
38,49,-6.247276025646644e-08
38,242,1.0016681172432208e-06
38,364,1.2033782689623831e-05
38,578,-3.5797109715311742e-06
38,684,-3.5253645429016984e-06
38,723,-5.867902532177713e-06
39,96,1.4866176701081016e-05
39,173,-1.8487729893112477e-05
39,214,2.9713165702818473e-05
39,573,-8.415769159310546e-06
39,617,3.210630105865615e-07
39,824,-1.7996906362063027e-05
40,349,-9.472563731522596e-05
40,626,-3.2188924505264794e-06
40,658,9.972745534207084e-05
40,721,1.545104286476552e-06
41,55,4.156654799508576e-05
41,71,-0.0002904824719438
41,211,0.0001275003192475
41,222,0.0001973999996085
41,367,-0.0001206883960199
41,778,4.4704001112530706e-05
42,116,-7.593772105418266e-05
42,188,-3.520738760232442e-05
42,403,-6.727921524479092e-05
42,554,0.0002265433742733
42,595,-3.275490275403184e-05
42,692,-1.53641476180457e-05
43,337,-4.95795829972782e-06
43,339,-2.258636834112033e-06
43,429,3.557496712521748e-05
43,447,-5.980730618487985e-06
43,759,-4.69231279135477e-06
44,121,-2.9833644273674555e-05
44,229,-2.1619974731502825e-07
44,603,-6.279792101698603e-06
44,781,3.7813540902433695e-06
44,839,1.1429367323973608e-05
45,111,-5.417137789441695e-05
45,163,-3.598680980381586e-05
45,176,6.044242684417398e-05
45,491,-4.0823864626497635e-05
45,539,4.1757742832085855e-05
45,779,2.878188264847061e-05
46,262,0.0001008925764196
46,610,1.7556880236823764e-05
46,613,1.863082980507806e-06
46,657,-3.839612608737872e-05
46,674,-1.679077024375561e-06
46,792,-8.02373365252308e-05
47,194,1.212542595427944e-05
47,259,1.1525711661251577e-05
47,383,1.164010006708523e-05
47,463,-1.1271569487121473e-05
47,527,-2.56679666757233e-05
47,734,1.6482984802285265e-06
48,75,2.0896113800211955e-05
48,164,-7.610257995163336e-06
48,407,0.0001415480141272
48,457,-0.0003929361586231
48,819,8.252134902725768e-05
48,820,0.0001555809396636
49,364,-5.6061954936706835e-06
49,414,1.0068405214159857e-06
49,515,4.195160263157894e-07
49,524,7.854714719164773e-06
49,684,-3.737348533482331e-06
50,92,-1.109061580682217e-05
50,215,1.1176304216825136e-05
50,528,-1.2120111205783042e-06
50,685,3.975418907397482e-07
50,699,3.7977113763798297e-06
50,844,-3.0689305565442384e-06
51,161,-2.7591095315474386e-06
51,295,5.296709967169688e-06
51,408,-9.178694791384373e-06
51,465,8.877817114307813e-06
51,659,1.6639351190504996e-06
51,806,-3.90065787759619e-06
52,103,-1.3071433416758411e-05
52,330,1.9481818083904952e-05
52,451,-1.0224820437632276e-05
52,738,-1.1054173658498314e-06
52,748,1.4547813863010847e-06
52,838,3.465071750034484e-06
53,104,-7.125044907604857e-06
53,424,-2.0666483266859458e-05
53,472,3.862827761566779e-05
53,596,1.4093253894763424e-06
53,701,-2.2934434387207337e-06
53,708,-9.952631391959094e-06
54,152,-1.7081634752914748e-05
54,370,-1.8916750177559944e-05
54,398,-5.388305849402157e-05
54,437,0.0001301407766218
54,631,-1.0312979404928353e-05
54,642,-2.9946353792375537e-05
55,71,0.0001013008560153
55,211,-5.02799363905671e-05
55,717,3.061376135366112e-05
55,729,-3.221833988487077e-08
55,797,-4.003591464344764e-05
56,210,-1.979431239829615e-06
56,446,1.4574283092999712e-05
56,628,-6.593934211106256e-06
56,716,-6.947607510590878e-06
56,780,4.06089519733355e-06
56,814,-3.114205328806513e-06
57,94,3.765455419498244e-06
57,449,1.6499347087029886e-05
57,609,-1.1789942991437328e-06
57,709,3.477869348115637e-05
57,763,-1.0241925642886936e-05
57,833,-4.362257604565383e-05
58,183,-7.978931118573747e-05
58,200,2.735328181768829e-05
58,226,-8.364737288312247e-05
58,453,1.1182402458819028e-05
58,795,6.619768164409988e-05
59,342,-3.320112140497904e-05
59,344,3.180840192403052e-05
59,420,1.512227570377456e-05
59,445,-6.067157481995616e-06
59,482,-4.00516960016416e-06
59,542,-3.657229140666269e-06
60,124,4.014899348559457e-06
60,199,1.2732983348895204e-06
60,480,-1.6944894406769126e-06
60,553,-9.055614460078144e-07
60,622,-6.122089483416099e-06
60,625,3.433942686651849e-06
61,81,-3.5573747235980245e-05
61,238,8.036313779689349e-05
61,455,-6.3069954137166e-05
61,600,4.5364919979695934e-05
61,815,-2.9257222373439955e-05
62,108,-2.147534652651095e-06
62,146,1.0708941449417297e-05
62,197,4.5705078598073955e-07
62,289,-3.951019130098815e-06
62,442,-3.6001511793959336e-06
62,730,-1.4672872732521928e-06
63,86,1.1757748686060196e-05
63,227,3.8141731570155806e-05
63,300,2.0894027334376655e-05
63,404,-2.7363737509681867e-05
63,510,-2.962268741656051e-05
64,206,-0.0002409503035749
64,219,-0.0001517377727882
64,497,-0.0001432382457778
64,704,0.0001884350215036
64,718,0.0003806947234238
65,170,1.0813016363081267e-07
65,576,-1.9328462831231296e-06
65,661,-1.0420749829258992e-06
65,805,2.705135731093895e-07
65,848,2.269396196379037e-06
66,288,3.875158841068959e-06
66,294,9.635986845356414e-06
66,459,6.769510746217254e-07
66,509,1.6216134107582307e-05
66,786,8.505982240021236e-06
67,70,-7.069215367556928e-06
67,120,-4.707870630785369e-06
67,218,6.957651472940706e-06
67,365,2.3791559442090014e-06
67,402,-1.675122516580499e-07
67,531,2.6077908328506392e-06
68,89,-1.7247261241584598e-05
68,312,-2.8554916672505993e-06
68,345,-2.6143631051119763e-06
