i,j,flux_coexact
38,351,2.2753919800966093e-05
38,775,-1.2449531309009852e-05
39,168,3.7000798742870434e-06
39,314,1.868762440507607e-05
39,415,-1.6719876429797985e-05
39,441,2.8557795204691203e-05
39,650,-2.298977124203243e-07
39,967,-3.399572534183601e-05
40,67,4.412729416363186e-05
40,237,1.0669193135887602e-05
40,244,1.6867025013036923e-05
40,903,3.969823386229532e-05
40,962,-0.0001129180784199
41,252,7.381676011429129e-06
41,266,-9.046963054594996e-06
41,320,-1.3840534194706309e-05
41,344,4.756876187118837e-06
41,615,-6.507564493700031e-06
41,999,1.725650954445337e-05
42,87,2.211852974181452e-05
42,452,-1.7489128550166966e-05
42,488,-7.907493642812921e-05
42,541,-5.906265971581737e-05
42,562,3.640619150778129e-05
42,865,-8.674272312276474e-05
42,971,0.0001838447265672
43,83,2.3230039704893564e-05
43,115,-6.948700385335819e-05
43,135,-4.101790483015152e-06
43,754,2.573615545607155e-05
43,936,1.4951505189804813e-05
44,203,-8.295533298976866e-06
44,219,-1.5844661092555244e-05
44,609,-4.944624343783147e-05
44,664,-1.4945312312555065e-05
44,894,-0.0001074837753176
44,1035,0.0001960155254595
45,80,3.1150475646138926e-06
45,234,3.8324828632262e-05
45,336,-1.2311294497050132e-05
45,693,-2.802962129351708e-05
45,888,8.645942588903261e-06
45,1002,-9.744902995211942e-06
46,92,1.4937893611447036e-05
46,195,-1.4566900096773858e-05
46,383,-1.1816465262558274e-05
46,470,-8.948372901660173e-06
46,704,-5.4332759535482375e-06
47,172,2.7385240806001925e-05
47,601,-0.0004079337391536
47,712,0.0003259839521409
47,790,0.0001520914782739
47,853,-2.2959476391626314e-05
47,964,-7.456745567574523e-05
48,198,-1.017370944183332e-05
48,406,3.2997053397345915e-05
48,520,-8.138899742093357e-05
48,567,3.431767025989269e-05
48,715,4.407536240575676e-05
48,1019,-1.982737920022848e-05
49,433,0.0002457881140672
49,460,-4.785085926779539e-05
49,667,1.4751203579031828e-05
49,695,-4.829846981477086e-05
49,789,-6.723383185430932e-06
49,979,-0.0001576666053783
50,63,-3.840843396595256e-07
50,451,-1.945005620836509e-05
50,503,-3.049651238129681e-05
50,556,2.72095857388202e-05
50,741,2.750619534574853e-05
50,846,-4.385128155247305e-06
51,232,-7.006748273261547e-05
51,340,-4.947664156404726e-05
51,755,8.383241691949901e-05
51,814,5.542305480931192e-05
51,826,6.3114624221894e-06
51,1016,-2.60228098543376e-05
52,56,9.141824869072013e-06
52,142,1.9949223246621013e-05
52,185,1.9249320132573464e-06
52,440,-1.4049229235583302e-05
52,519,-1.247116894332936e-05
52,1005,-4.49558195003771e-06
53,312,1.1989946704324756e-05
53,470,6.404631213295434e-06
53,704,-5.17226425615916e-06
53,809,-2.064754030199749e-05
53,943,4.273482483503077e-05
53,1023,-3.530959819449431e-05
54,224,-1.3712391810708878e-05
54,633,-2.0346026187466588e-05
54,634,8.476616027189483e-06
54,816,1.2981490142868136e-05
54,827,-1.703783170549341e-06
54,843,1.4304094998667187e-05
55,152,-1.9752631087943632e-05
55,226,3.1029902840299975e-05
55,257,1.5607543935621813e-05
55,529,-2.99666103244743e-05
55,666,-1.9707111059330473e-05
55,725,2.2788905695826617e-05
56,142,8.594084260983125e-06
56,402,6.841373868781526e-06
56,440,-1.926420157781997e-05
56,594,4.567513453196354e-06
56,1031,8.403054863930978e-06
57,59,-3.921782373487507e-06
57,73,-1.340620558721834e-05
57,128,4.970774861500072e-06
57,245,6.57450208142883e-06
57,602,1.6746268513187876e-05
57,859,-1.096355749541093e-05
58,115,-2.951750826854174e-05
58,523,-4.815652831851878e-06
58,710,2.351603035270059e-05
58,747,3.144065741953062e-05
58,867,-4.862284391990617e-06
58,896,-1.5761242279846983e-05
59,150,-3.450277507825997e-05
59,245,-1.9435420580751554e-05
59,439,4.220981380079485e-05
59,602,3.673245944325721e-05
59,966,-2.892585995852804e-05
60,69,-5.7991387207339415e-05
60,342,6.363131685843932e-08
60,486,-4.428045036044673e-05
60,719,5.471022945419299e-05
60,837,-6.860327616463603e-05
60,876,0.0001161012529613
61,76,-1.5134318792040705e-05
61,95,6.627473481676195e-06
61,297,1.6855411900014236e-05
61,308,7.61887418033334e-06
61,491,-1.4976811759740302e-05
61,957,-9.90629010242766e-07
62,100,4.246752643841693e-05
62,116,5.851779346033636e-05
62,158,-9.84325577569898e-06
62,186,5.180088909050983e-05
62,258,-6.649643238325958e-05
62,1024,-7.644652083030456e-05
63,451,2.0319572966445543e-05
63,455,3.1539187154103485e-05
63,556,-3.755687244262234e-05
63,579,7.455337878309464e-06
63,934,-2.214130989589568e-05
64,136,-1.8735904812742433e-05
64,153,8.700332294863265e-05
64,182,6.709414951374668e-05
64,260,3.178619700387758e-05
64,399,-0.0002282988268482
64,574,6.11510621947341e-05
65,349,-1.122993160807616e-05
65,422,2.5466903976219837e-05
65,561,7.885184985951805e-06
65,773,-2.1642634779719803e-05
65,930,-1.3194641263981433e-05
65,1040,1.2715118689605754e-05
66,141,1.995148859909204e-05
66,224,0.0001335085845895
