i,j,flux_wedge,abs_flux,region_i,region_j,flux_exact,flux_coexact
21,3109,0.0145881499630469,0.0145881499630469,other,other,0.010581003635601438,0.004007146327445463
21,2050,-0.0708049596000859,0.0708049596000859,other,other,-0.06600577494987245,-0.0047991846502134505
22,955,-0.2421916245727108,0.2421916245727108,other,other,-0.1853991566606687,-0.056792467912042094
22,2802,0.0446729557121191,0.0446729557121191,other,other,0.039657031442430074,0.005015924269689026
22,2616,0.0,0.0,other,other,-0.005923650000301206,0.005923650000301206
22,252,0.1147679447694887,0.1147679447694887,other,other,0.018928019028800147,0.09583992574068856
22,392,0.2541101189934904,0.2541101189934904,other,other,0.22008348958983448,0.03402662940365592
22,2245,-0.3200943082243445,0.3200943082243445,other,other,-0.23608044270467557,-0.08401386551966891
23,2760,-0.0723228065405206,0.0723228065405206,other,other,0.01979466723260015,-0.09211747377312075
23,2948,0.0263617737400502,0.0263617737400502,other,other,0.006393064113814573,0.019968709626235627
23,1320,-0.0863885733566225,0.0863885733566225,other,other,-0.0461444653848051,-0.040244107971817406
23,2894,0.0124790596381182,0.0124790596381182,other,immune_core,-0.08293163849151775,0.09541069812963594
23,71,-0.0215236568094151,0.0215236568094151,other,other,-0.017792307697974463,-0.0037313491114406364
23,1122,0.0080315699627666,0.0080315699627666,other,other,-0.01268304896659811,0.020714618929364707
24,279,0.0117201658686817,0.0117201658686817,interface,immune_core,-0.08999717970191434,0.10171734557059604
24,207,-0.0449433154766117,0.0449433154766117,interface,interface,-0.05320434550189579,0.00826103002528409
24,131,-0.0900365438799057,0.0900365438799057,interface,other,0.027437147588904587,-0.11747369146881029
24,3741,0.02679997340769,0.02679997340769,interface,immune_core,-0.16421984278046553,0.19101981618815553
24,1959,-0.059882014766408,0.059882014766408,interface,interface,-0.03933717777494006,-0.02054483699146794
24,3051,0.0544472762884147,0.0544472762884147,interface,interface,0.2174257470479094,-0.1629784707594947
25,4014,-0.3071693615073255,0.3071693615073255,other,other,-0.25723773375445236,-0.04993162775287313
25,2511,0.0446729557121191,0.0446729557121191,other,other,0.05126914373519223,-0.00659618802307313
25,2839,0.0,0.0,other,other,0.002455797841878965,-0.002455797841878965
25,2239,0.1281013334867817,0.1281013334867817,other,other,0.08735030199616109,0.04075103149062062
25,2288,0.1293560947325355,0.1293560947325355,other,other,0.09158649001878647,0.037769604713749044
25,2774,-0.2028839874540869,0.2028839874540869,other,other,-0.1833467402272408,-0.019537247226846105
26,937,0.769921012865576,0.769921012865576,interface,other,0.31337917015116923,0.4565418427144068
26,3217,0.4259351672976328,0.4259351672976328,interface,tumor_core,0.3373750811528975,0.08856008614473532
26,4210,-0.3450402455476493,0.3450402455476493,interface,interface,-0.11327149487060018,-0.2317687506770491
26,4089,-0.0833730022517748,0.0833730022517748,interface,interface,0.012995641595470286,-0.09636864384724508
26,4158,0.0318067771242109,0.0318067771242109,interface,tumor_core,0.09441959756542762,-0.06261282044121672
26,3650,-0.0095286534058413,0.0095286534058413,interface,other,0.14482210573006016,-0.15435075913590146
27,1830,-0.1372987921018908,0.1372987921018908,interface,interface,0.10830619741598854,-0.24560498951787935
27,2803,-0.001669168476127,0.001669168476127,interface,other,0.1160878481873454,-0.1177570166634724
27,3373,-0.3590306211637074,0.3590306211637074,interface,other,0.024904203870888555,-0.3839348250345959
27,3910,0.2094708574370455,0.2094708574370455,interface,interface,0.036846135304258884,0.17262472213278662
27,3047,0.5568083098031539,0.5568083098031539,interface,interface,-0.23144175289665597,0.7882500626998099
27,3015,0.0617214539810957,0.0617214539810957,interface,other,0.27529927528289067,-0.21357782130179498
28,2593,-0.0035505606197181,0.0035505606197181,interface,other,-0.15375432998087452,0.15020376936115643
28,878,-0.1125739287431949,0.1125739287431949,interface,other,0.361241072317785,-0.4738150010609799
28,3473,0.0035267567151347,0.0035267567151347,interface,other,0.024640859402191406,-0.021114102687056706
28,3655,-0.0392958677410302,0.0392958677410302,interface,interface,-0.05719751407558715,0.017901646334556952
28,3461,-0.1234430573177504,0.1234430573177504,interface,immune_core,-0.3056585483376535,0.1822154910199031
28,91,-0.0176875509947465,0.0176875509947465,interface,interface,-0.16229512272931046,0.14460757173456396
29,79,-0.1161592609841526,0.1161592609841526,interface,interface,-0.22994571683505974,0.11378645585090713
29,1992,0.3156700083730609,0.3156700083730609,interface,interface,0.6379172699497081,-0.3222472615766472
29,397,0.0404788274558642,0.0404788274558642,interface,interface,-0.03728256292202939,0.07776139037789359
29,1506,0.1508883037204769,0.1508883037204769,interface,interface,0.22040366987411403,-0.06951536615363713
29,726,-0.0493275946342662,0.0493275946342662,interface,interface,-0.16689610478407574,0.11756851014980954
29,706,0.0171026943294499,0.0171026943294499,interface,interface,-0.0655433812355043,0.0826460755649542
30,2751,0.1145330910845396,0.1145330910845396,interface,other,0.13736735388312304,-0.022834262798583443
30,1279,0.287126764191664,0.287126764191664,interface,immune_core,0.27915823383518235,0.007968530356481651
30,1600,-0.01661284790713,0.01661284790713,interface,other,0.011323622571558944,-0.027936470478688944
30,916,0.0183021942706741,0.0183021942706741,interface,other,-0.08401269742456766,0.10231489169524176
30,3643,0.1023057264988546,0.1023057264988546,interface,other,0.13060970201683786,-0.028303975517983262
30,1536,0.0171557382592422,0.0171557382592422,interface,interface,0.04836473928012891,-0.03120900102088671
31,738,0.0954810534815625,0.0954810534815625,other,other,0.08754617601106554,0.007934877470496954
31,3219,0.0019647317884703,0.0019647317884703,other,other,0.0018777007941913892,8.70309942789106e-05
31,3603,0.0019647317884703,0.0019647317884703,other,other,0.001629356886189981,0.00033537490228031886
31,729,0.0,0.0,other,other,0.002930229996219863,-0.002930229996219863
31,337,-0.0427082239236488,0.0427082239236488,other,other,-0.03938371880896105,-0.003324505114687751
31,1079,-0.1295354714132909,0.1295354714132909,other,other,-0.12743272250709012,-0.0021027489062007687
32,4003,0.085263719756358,0.085263719756358,immune_core,immune_core,0.08737299856293235,-0.002109278806574341
32,647,1.109005633869996,1.109005633869996,immune_core,other,0.8555734793743369,0.25343215449565915
32,1111,-0.3587036297817889,0.3587036297817889,immune_core,immune_core,-0.35919492767484074,0.0004912978930518563
32,2716,-0.772777735110118,0.772777735110118,immune_core,immune_core,-0.7067034873346929,-0.06607424777542514
32,145,-0.917216720501278,0.917216720501278,immune_core,immune_core,-0.6263539183140947,-0.2908628021871833
32,4251,0.5953282089792625,0.5953282089792625,immune_core,other,0.49020423049331985,0.10512397848594268
33,3064,-0.2180159558112691,0.2180159558112691,interface,interface,-0.09062055607692514,-0.12739539973434394
33,1424,-0.0434542362173959,0.0434542362173959,interface,interface,-0.07801760217395193,0.03456336595655603
33,2538,0.2134390340301694,0.2134390340301694,interface,tumor_core,0.16263080614570663,0.050808227884462764
33,3287,0.2151147492341608,0.2151147492341608,interface,interface,0.008860800303111205,0.2062539489310496
33,1876,-0.1211677811679612,0.1211677811679612,interface,other,0.027805932040215253,-0.14897371320817646
33,238,-0.0135743280942147,0.0135743280942147,interface,other,0.001682233885360651,-0.015256561979575351
34,963,0.7683662711400955,0.7683662711400955,other,tumor_core,0.8510288478136531,-0.08266257667355759
34,2353,0.6307524293189879,0.6307524293189879,other,tumor_core,0.509951154758983,0.12080127456000489
34,815,0.2111232933557935,0.2111232933557935,other,tumor_core,0.099891015604341,0.1112322777514525
34,1114,-0.1487232956162369,0.1487232956162369,other,other,-0.07626311457261226,-0.07246018104362464
34,3321,-0.0690531820598717,0.0690531820598717,other,other,-0.0930377174192869,0.023984535359415207
34,2229,-0.1632362116720526,0.1632362116720526,other,other,-0.06234192724922627,-0.10089428442282633
35,2668,-2.7134663986768817,2.7134663986768817,interface,interface,-1.9406807905070789,-0.7727856081698028
35,158,-1.7658731065053193,1.7658731065053193,interface,interface,-0.9734079676454077,-0.7924651388599115
35,87,-2.569304294889458,2.569304294889458,interface,interface,-2.0216436576366292,-0.5476606372528288
35,2137,0.2154130233400466,0.2154130233400466,interface,interface,-1.182270236818348,1.3976832601583946
35,2482,0.2128669587458527,0.2128669587458527,interface,interface,-0.8729505828513466,1.0858175415971993
35,2497,-2.088954985345276,2.088954985345276,interface,interface,-1.7183635293312713,-0.37059145601400445
36,2441,0.1250338124532291,0.1250338124532291,interface,other,0.04202490162171152,0.08300891083151757
36,1593,0.0142068605874523,0.0142068605874523,interface,interface,-0.00567472111368067,0.01988158170113297
36,3642,-0.1569572429148926,0.1569572429148926,interface,interface,-0.1988364208942748,0.041879177979382204
36,3647,-0.0167853093249704,0.0167853093249704,interface,immune_core,-0.011100504911243564,-0.005684804413726836
36,1300,0.0978231652416248,0.0978231652416248,interface,other,0.2025052827891487,-0.1046821175475239
36,1893,0.0745812208119674,0.0745812208119674,interface,interface,0.10898413537367402,-0.03440291456170662
37,319,-0.1340272271614096,0.1340272271614096,interface,other,0.040272611768589706,-0.1742998389299993
37,702,1.0488499324545728,1.0488499324545728,interface,interface,0.5876431312096497,0.4612068012449231
37,2705,-0.0995859269171856,0.0995859269171856,interface,interface,-0.1658981552137639,0.06631222829657829
37,2208,0.2884313891684177,0.2884313891684177,interface,interface,0.16166814848848043,0.12676324067993727
37,2108,-0.2029546203535744,0.2029546203535744,interface,other,0.11887097001822781,-0.3218255903718022
37,2310,0.2572075515319527,0.2572075515319527,interface,interface,0.41536439408344855,-0.15815684255149587
38,3563,2.775608241734719,2.775608241734719,interface,interface,1.4091383229426855,1.3664699187920335
38,4412,-1.430348510296107,1.430348510296107,interface,interface,-0.5152659618118258,-0.9150825484842813
38,3003,-0.0242969519857512,0.0242969519857512,interface,interface,0.1436771504840466,-0.16797410246979783
38,933,-0.8052532254119662,0.8052532254119662,interface,interface,-0.043610464985198494,-0.7616427604267677
38,408,-1.5170876428340447,1.5170876428340447,interface,interface,-0.6509805901529242,-0.8661070526811205
