face_id,i,j,k,x_centroid,y_centroid,curl_total_abs,curl_coexact_abs
268,1386,1464,1366,8937.0,7616.333333333333,0.0001790140205284061,0.000179014023457006
269,1464,892,913,8937.333333333334,7385.333333333333,9.915747166022844e-05,9.915748047335976e-05
270,892,1464,1386,8870.0,7500.666666666667,0.000147643848036802,0.00014764377581245614
271,770,1426,765,9135.666666666666,8426.333333333334,0.0003958537709696231,0.00039585358286816627
272,1426,1873,765,9068.333333333334,8541.666666666666,8.991566252565498e-05,8.991563746877945e-05
273,1873,1426,1527,9135.0,8657.333333333334,0.0003009097374746637,0.0003009095659519709
274,692,1527,1460,9268.666666666666,8888.666666666666,2.9725348042838775e-05,2.9725386452388957e-05
275,249,2123,532,9871.666666666666,9005.666666666666,3.08547311661834e-05,3.085465858132394e-05
276,249,69,988,9737.0,9236.333333333334,0.00020016800701641525,0.00020016788686883007
277,509,249,988,9670.0,9120.666666666666,7.209044853865756e-05,7.209044918814186e-05
278,249,509,2123,9737.333333333334,9005.333333333334,0.00018877872165044195,0.00018877868233128876
279,69,1727,988,9669.666666666666,9351.666666666666,0.00014700183835003578,0.00014700181401825852
280,811,1492,579,9869.0,9930.666666666666,4.973573320075477e-05,4.973570105141176e-05
281,1492,1297,358,9668.333333333334,9814.333333333334,0.00029077841571240005,0.00029077843131991956
282,1492,811,1297,9735.0,9930.333333333334,0.0003290861293210423,0.0003290860030708104
283,1492,707,579,9936.333333333334,9815.333333333334,5.478951848804122e-05,5.4789547497067546e-05
284,1245,582,61,11963.0,4042.3333333333335,0.0004723160891136056,0.00047231588060449997
285,1710,558,905,11693.666666666666,4503.666666666667,6.333486840650002e-05,6.333491966592337e-05
286,558,1604,1547,11492.666666666666,4387.666666666667,5.869711725201575e-06,5.869509888533909e-06
287,1604,558,1710,11559.333333333334,4503.333333333333,0.00023644180912791804,0.00023644155891828518
288,541,325,747,15446.333333333334,4745.0,5.118352610663649e-05,5.118346511398807e-05
289,1249,325,541,15513.0,4860.666666666667,0.00010682619724507327,0.00010682611534145451
290,325,1179,747,15312.333333333334,4744.666666666667,1.9410478441812067e-05,1.9410508209055445e-05
291,1179,325,1249,15379.0,4860.333333333333,1.7794656452629166e-05,1.7794693351097232e-05
292,1541,1249,541,15580.0,4976.333333333333,6.582861693744837e-05,6.582857594382397e-05
293,891,1541,541,15713.666666666666,5053.666666666667,9.243485749087342e-05,9.243479957305963e-05
294,1541,891,1518,15713.333333333334,5207.666666666667,4.9180870679488245e-06,4.918058956861707e-06
295,1541,1518,499,15579.333333333334,5207.333333333333,2.7379262629754936e-05,2.7379268555387147e-05
