face_id,i,j,k,face_energy_total,face_energy_exact,face_energy_coexact,face_energy_harmonic
2774,43,2011,1452,5.742571326121591e-07,7.884230636825001e-07,5.4522455521515e-08,5.310361771388219e-18
2775,1521,266,1432,2.9107597771399297e-06,2.7700947787530706e-06,1.869171301087184e-07,5.72388850829666e-18
2776,1521,1117,266,1.8671479299190263e-06,1.803373802486342e-06,9.868783584229345e-08,4.8917060969803866e-18
2777,2197,2087,289,5.785565902097693e-06,6.712522909865116e-06,8.24708714161012e-08,1.0366369792743798e-17
2778,2197,289,72,3.0904667627040146e-06,3.738149082198438e-06,3.916354332580127e-08,9.771488883198577e-18
2779,213,2197,506,8.461147231086307e-06,5.295607285691727e-06,4.7654285090749735e-07,1.8391460351026463e-17
2780,2087,2197,213,8.502959251126266e-06,7.489966430879068e-06,1.4200928268661663e-07,1.4009351541834206e-17
2781,2197,1172,506,2.707084983677535e-06,1.6785028805150695e-06,1.2701538891710571e-07,1.6101348277741646e-17
2782,1172,2197,72,1.7902969128419908e-06,1.8107877027921354e-06,1.1428879240321371e-08,1.2917087036639205e-17
2783,289,1882,72,1.252795313317942e-06,1.39137272249962e-06,1.2056946511528962e-08,7.878462696460708e-18
2784,1554,327,1019,3.507395642460227e-06,2.304915032540439e-06,1.6293086287434015e-07,2.0796904218283007e-17
2785,789,601,1753,8.026213429235037e-07,7.674691351473297e-07,9.521553858823678e-09,3.993349279713992e-17
2786,789,1753,1906,4.310993328527274e-07,5.747705507184275e-07,1.4428089846769324e-08,4.7431124245527627e-17
2787,789,1906,578,9.607711158602265e-07,1.3391798995092812e-06,3.449312077821588e-08,5.821159697678639e-17
2788,1673,789,578,7.523659257751661e-07,9.232925773383961e-07,1.691815091220635e-08,5.748333261360433e-17
2789,405,1172,72,2.8581028460788043e-06,3.136046062529239e-06,1.7321157242898977e-08,1.0136640807320962e-17
2790,1172,405,1598,4.472220110212175e-06,5.214923700534315e-06,3.4072339972070946e-08,1.118956640984463e-17
2791,1598,405,592,4.985446781501901e-06,4.7571481515368194e-06,4.4024762421633416e-08,1.0433663440592873e-17
2792,252,678,1076,4.370507200730114e-06,5.2980234755401475e-06,1.2407073368068193e-07,1.595140483756999e-17
2793,678,252,1183,1.6666158004731162e-06,1.5542515636437222e-06,7.04929514562766e-08,1.5458177979168055e-17
2794,873,678,1183,4.5356698275165133e-07,3.4771826744613046e-07,1.9754830947300736e-08,1.4448506377418025e-17
2795,678,1009,1076,7.409116977231914e-06,7.950758656503747e-06,1.0059426443554381e-07,1.0651334227459314e-17
2796,899,873,2024,5.671503394227951e-06,7.447700892945749e-06,1.6352568741151638e-07,6.455791378238992e-18
2797,1452,899,2024,2.491587918006354e-06,3.3032193200051044e-06,9.430279800131488e-08,5.57793622764216e-18
2798,678,899,1009,7.60489391025111e-06,6.97538297447151e-06,1.6214840276546776e-08,8.79832372616021e-18
2799,899,678,873,4.092087723139647e-06,4.002373189516095e-06,1.0677425462685345e-08,6.6743975560074404e-18
2800,899,1452,1730,4.7256648825811203e-07,4.969068154936727e-07,6.768837782001354e-08,6.675906689364631e-18
2801,1009,899,1730,6.908763518224226e-07,1.3496719006602528e-06,2.7907128743840253e-07,6.960595708399061e-18
2802,2034,134,1038,1.4295247858645702e-06,2.1601278660433617e-06,8.851194680655988e-08,2.7816640769050755e-17
2803,134,2034,648,1.211127971749885e-06,1.40730353302946e-06,4.7968565413418155e-08,2.04964856242489e-17
2804,1515,1680,76,8.546525114175583e-07,5.910028523460053e-07,1.2792835991183008e-07,1.5558603240589797e-18
2805,2136,1515,76,9.244010419921993e-07,8.502774798950637e-07,5.745803210836691e-08,9.419915991410356e-19
2806,1515,2136,757,6.964572718676862e-07,8.339272547751563e-07,1.556388041358667e-08,3.009113111342705e-18
2807,1094,1362,2032,2.817210591524193e-06,1.8953246532343984e-06,9.849375655009396e-08,1.4952941561955047e-17
2808,1362,478,2032,1.769080388891694e-06,1.3497136429640227e-06,4.167890820184184e-08,2.168268391837282e-17
2809,478,1362,451,2.880203306801804e-07,3.3071365546533735e-07,4.809307736489713e-09,3.5378546092667286e-17
2810,2034,1362,1094,1.938916908036322e-06,1.5164965546224777e-06,2.5222140652354597e-07,1.5999898195558873e-17
2811,451,1362,1038,4.109026760056165e-06,4.029771354885528e-06,1.889393835243856e-08,3.954469392507115e-17
2812,1362,2034,1038,3.523127398678912e-06,3.943732985431359e-06,2.882127595911982e-07,2.7743277700461103e-17
2813,1604,442,1296,9.658947035989938e-07,7.454589012384723e-07,8.72134815628241e-08,1.3224706097127635e-17
2814,1841,1604,1296,5.681980755832201e-06,5.732280707275802e-06,5.774965387407282e-08,9.307378198845811e-18
2815,1604,420,734,3.0156551249582027e-06,2.4614351240103675e-06,7.231880536803602e-08,5.4973254414644384e-18
2816,420,1604,1841,2.552445774621552e-06,2.338483916396635e-06,5.962717869345442e-08,6.488764953602458e-18
2817,1046,442,46,5.303176604560538e-07,1.946207697287053e-07,8.840883434681652e-08,1.7919931363886506e-17
2818,1046,46,2032,6.963935246426443e-07,3.632778923077108e-07,9.922435520960644e-08,1.641469175645174e-17
2819,478,1046,2032,4.815154531830499e-07,4.013554644344871e-07,4.607785088181722e-08,2.286196607230304e-17
2820,1046,478,1720,2.5018345688555087e-06,2.6450978888219606e-06,5.847218357579667e-08,3.2326666878857156e-17
2821,1346,1600,1720,1.669918592832242e-07,1.0671331355269338e-06,3.970175165120988e-07,3.767166287362471e-17
2822,1600,1046,1720,1.3268438791369764e-06,2.5017370567349458e-06,3.90333946359957e-07,3.09558978614188e-17
2823,1046,1600,442,1.224069022254662e-07,6.561130373887676e-07,4.080419212853517e-07,2.1497904601891775e-17
2824,442,1600,1296,1.278072956103388e-07,3.8642807137701107e-07,2.8294496270081946e-07,2.1706780742163757e-17
2825,1296,1600,426,1.9313082415862355e-06,1.5221694272123528e-06,3.135658515168474e-07,2.2273631354082224e-17
2826,1600,1346,426,3.0668285459673775e-07,1.0689990634481975e-06,3.8961819922939277e-07,3.1746937148878407e-17
2827,2103,1040,734,4.1199155445989156e-07,6.169549539997471e-07,8.398069401750209e-08,3.651237237259856e-18
2828,2103,44,1040,1.5096455359631826e-06,1.795061041007582e-06,1.1710724986528221e-07,2.4401923741676096e-18
2829,1281,808,999,8.404114749585815e-06,8.99823223346529e-06,9.058727281675664e-08,1.4483955036641097e-19
2830,1332,1365,1628,1.1145420277804367e-05,1.0071469631165161e-05,4.093776590345382e-08,9.661902538816019e-19
2831,896,1332,58,5.019315840842718e-06,5.552537916620726e-06,4.9879995066419694e-08,6.618668092530735e-19
2832,1332,1628,58,9.504063725334374e-06,9.174713492972326e-06,8.969036845622108e-08,5.257153185847972e-19
2833,1332,1281,1365,7.176887592911649e-06,6.7789042697579206e-06,8.73764721512868e-09,5.790351033342236e-19
2834,1332,896,808,6.957927584867564e-07,6.701991804411627e-07,3.031190402292756e-09,6.460793426487385e-19
2835,1281,1332,808,1.0093461860375962e-06,9.024679279049967e-07,5.864856901030641e-08,2.0743372573740223e-19
2836,44,990,73,7.446258214800758e-07,6.424888450354913e-07,7.856498473247212e-08,2.4876227934473678e-18
2837,2119,990,900,1.1866387424851279e-06,8.460659191906248e-07,6.185336362603857e-08,3.2291575409241914e-18
2838,990,2119,73,1.8667339452970767e-06,1.43868291559069e-06,7.10186642766341e-08,2.8811672951752637e-18
2839,1365,1098,1947,1.9415385300262692e-06,2.146705193742081e-06,4.9826374656696874e-08,1.0335103649758534e-18
2840,1098,990,44,1.9380407989110605e-06,1.7417015002660411e-06,1.1822497809839912e-08,2.112597067126853e-18
2841,1139,295,1513,1.6717692186157586e-06,1.7295365533847936e-06,1.6498817180082282e-09,1.5331505933390482e-17
2842,1139,1654,1202,4.747534586995864e-06,3.83323141483979e-06,5.76363476968349e-08,7.095590643984715e-18
2843,1139,1513,1003,6.364565974660321e-07,7.190587198565841e-07,2.9444463006022683e-09,1.3246673399456536e-17
2844,1654,1139,1003,4.404000562849378e-06,3.634502022893701e-06,5.048061522460762e-08,9.526255541513766e-18
2845,481,1198,1121,5.0330124954801525e-06,4.517680967379099e-06,1.464919451973217e-07,6.125864917637279e-17
2846,1198,314,1257,1.2824174064303773e-06,1.449181354164422e-06,4.4490080967807003e-08,3.84561656448404e-17
2847,1198,481,314,2.1971164753324713e-06,2.397550991625787e-06,5.7046338004623745e-09,5.652910629009608e-17
2848,710,150,540,1.477065174122505e-07,2.0463139160553754e-07,1.34305091492667e-08,4.479940709433899e-17
2849,150,193,1351,2.214476895680342e-06,2.744978981613103e-06,1.2328095925525292e-07,5.105817754326744e-17
2850,540,150,1351,3.200022730925673e-07,3.502544975815452e-07,6.749923634162056e-09,4.5666161170133656e-17
2851,150,381,193,7.991243880239957e-06,6.649244865119991e-06,5.759192162907953e-07,4.6901643057168207e-17
2852,381,150,2142,2.389657996960002e-06,3.2102475169830937e-06,1.486480816597803e-07,4.4083758232232705e-17
2853,150,710,2142,4.6540114030665555e-07,3.2950218048665304e-07,1.910987311824808e-08,4.066959427632458e-17
2854,1215,1937,1815,1.1559681471704217e-05,1.1714962559011689e-05,1.1074411098493572e-09,5.358561174713999e-17
2855,1815,1937,1581,1.2082737129036032e-05,1.1985916268183122e-05,4.956507852875703e-09,6.316101140166553e-17
2856,1937,1329,546,3.260088402107758e-06,3.2599979238994434e-06,2.5329904958117568e-08,5.692668471018995e-17
