face_id,i,j,k,face_energy_total,face_energy_exact,face_energy_coexact,face_energy_harmonic
172,1659,100,181,2.9951118039010214e-08,5.730492393421936e-09,3.4263099298063114e-08,2.233454277848695e-20
173,223,986,113,5.506052392183205e-09,4.207485505361326e-09,7.361341009704087e-09,1.6562590276320122e-20
174,113,986,857,1.8263400590818214e-08,1.839056823121712e-08,8.773983838845271e-09,6.96685852994587e-21
175,743,986,1188,6.788779273987489e-09,8.06862083127344e-09,2.131955145353024e-09,2.1099420443689242e-20
176,986,223,1188,1.4718239409341048e-09,2.407670937261625e-09,3.639529110163848e-09,2.24044636522527e-20
177,986,252,857,4.957565931004107e-09,5.0420098585524325e-09,6.234947540338135e-09,5.555429202782765e-21
178,252,986,743,5.94187443738905e-09,2.0947920220788586e-09,8.810303482847545e-09,2.4963574044622642e-20
179,1267,2154,1828,9.894987319884723e-09,4.367911760736021e-09,2.1063528561727273e-09,6.927991293861937e-20
180,223,2154,1267,2.979335069754504e-09,6.9980675300692205e-09,1.2051370413268272e-09,2.0475819874468052e-20
181,2154,181,1828,1.4003426946939668e-08,8.141580581397103e-09,9.87800251276786e-10,2.809040219995875e-20
182,181,2154,113,1.2198847230938492e-08,6.66057786388352e-09,9.628697247384684e-10,7.645409918855063e-21
183,2154,223,113,1.1655066884148e-08,7.265681308878307e-09,4.432492792833157e-09,1.0559360223380995e-20
184,1600,1525,977,2.6648887447100177e-08,1.3957523377779752e-08,2.4790628678055797e-09,1.876407593044717e-19
185,1525,1177,977,1.233450909291635e-08,4.874964712566333e-09,1.8012467074573105e-09,3.1793823222266707e-19
186,1177,1525,945,4.205320862250899e-09,1.1415606197292456e-09,5.095237528192186e-09,3.904681545898651e-19
187,945,1525,363,8.078339435049802e-09,3.916000397522376e-09,7.696855568748641e-09,4.981058212727655e-19
188,1627,1015,1282,3.5464900485596447e-09,1.8680979157543793e-09,7.54978515238688e-09,1.686250114981921e-19
189,1627,1282,2109,6.367425421181691e-10,7.776904853169652e-10,2.6599575469788134e-09,2.1490103769173188e-19
190,1742,1627,2109,1.8090844496075e-08,1.2751817563847504e-09,1.132072077352953e-08,1.1249845273020566e-19
191,1525,1056,363,4.9385466538013006e-08,9.058276883646298e-09,1.9214830048768755e-08,4.377727888250592e-19
192,1056,1525,1600,3.240341289731934e-08,1.1996298225804099e-08,7.660620261989787e-09,4.062658594670458e-19
193,100,1979,1706,6.442048443084017e-08,3.77993225744382e-10,5.818090284823197e-08,1.5215950978706202e-19
194,1659,1979,100,8.893505224234872e-10,5.245794252102573e-10,2.003827779159543e-09,5.556551828631241e-20
195,1370,618,363,1.4619333677962313e-10,1.4844476196556699e-09,1.0858985527330874e-09,6.681410161135829e-19
196,744,568,689,9.527967164923723e-09,1.5418502061628593e-08,6.649175940673977e-09,5.205301962346289e-19
197,557,744,689,7.814282618233185e-10,7.124655963536932e-09,9.205375601637557e-09,4.891350026465537e-19
198,863,1434,1457,8.481618096245305e-09,3.7152331193127867e-09,2.110782305231933e-09,1.2185143872797561e-18
199,1434,371,1457,2.3219373101577522e-08,4.448107898663366e-09,1.0175395694187396e-08,1.969117368175802e-18
200,371,21,1688,2.5115265768484785e-08,2.667486104724058e-09,2.172240364854099e-08,8.337938710201165e-18
201,21,1434,1258,3.8035296662865e-09,1.8893580851494374e-09,5.502130902953649e-09,1.4738450915124017e-18
202,1434,21,371,2.3973528507753953e-09,4.980885057731622e-10,1.1644769996685969e-09,1.8254762987203835e-18
